SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Actual_0,Predicted_0,Quantile_0.05_Timestep_0,Quantile_0.25_Timestep_0,Quantile_0.50_Timestep_0,Quantile_0.75_Timestep_0,Quantile_0.95_Timestep_0,Actual_1,Predicted_1,Quantile_0.05_Timestep_1,Quantile_0.25_Timestep_1,Quantile_0.50_Timestep_1,Quantile_0.75_Timestep_1,Quantile_0.95_Timestep_1,Actual_2,Predicted_2,Quantile_0.05_Timestep_2,Quantile_0.25_Timestep_2,Quantile_0.50_Timestep_2,Quantile_0.75_Timestep_2,Quantile_0.95_Timestep_2,Actual_3,Predicted_3,Quantile_0.05_Timestep_3,Quantile_0.25_Timestep_3,Quantile_0.50_Timestep_3,Quantile_0.75_Timestep_3,Quantile_0.95_Timestep_3,Actual_4,Predicted_4,Quantile_0.05_Timestep_4,Quantile_0.25_Timestep_4,Quantile_0.50_Timestep_4,Quantile_0.75_Timestep_4,Quantile_0.95_Timestep_4
2053,Ethereum,ETH,2021-03-21 23:59:59,1823.35304951,1764.13924637,1812.60653625,1788.21700883,22977404620.4,205906557856.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054,Ethereum,ETH,2021-03-22 23:59:59,1811.9682552,1674.29976643,1788.36217793,1691.33401831,23599296128.83,194773638865.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055,Ethereum,ETH,2021-03-23 23:59:59,1725.10880681,1662.53988877,1690.87186951,1678.65013849,21998237965.46,193335618290.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2056,Ethereum,ETH,2021-03-24 23:59:59,1740.42819996,1570.78800082,1678.00253892,1593.4134567,31228051472.9,183540070276.94,1593.4135,1727.2694,1568.7219,1655.6102,1700.694,1773.1674,1875.9203,1595.3593,1721.023,1489.7764,1650.1895,1702.0773,1783.7963,1934.5306,1702.842,1727.3368,1440.3141,1626.4702,1713.306,1816.1938,1999.6709,1716.4946,1721.5519,1395.8741,1609.4958,1717.5177,1830.0643,2028.8054,1691.356,1744.392,1365.6215,1587.3672,1713.6166,1871.9088,2116.6438
2057,Ethereum,ETH,2021-03-25 23:59:59,1625.91155385,1560.37046253,1593.12326025,1595.359192,29650328700.52,183786054251.84,1595.3593,1641.5331,1493.269,1575.9818,1617.477,1687.3567,1780.8964,1702.842,1640.3513,1422.3329,1571.9521,1617.4036,1694.1945,1840.7788,1716.4946,1648.4948,1373.3744,1547.2072,1632.5851,1728.1605,1903.6796,1691.356,1641.7982,1331.8032,1535.9285,1633.6355,1736.224,1930.0658,1819.6849,1664.4696,1303.8384,1514.8545,1631.992,1780.0704,2012.9445
2058,Ethereum,ETH,2021-03-26 23:59:59,1702.92284183,1594.73670789,1595.21004599,1702.84201957,22548516548.46,196191139867.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,Ethereum,ETH,2021-03-27 23:59:59,1732.82436887,1674.31936833,1703.03611007,1716.49461243,18102277710.2,197787142643.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060,Ethereum,ETH,2021-03-28 23:59:59,1728.58414613,1672.66038223,1716.40566126,1691.35596451,16599472937.88,194913443083.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061,Ethereum,ETH,2021-03-29 23:59:59,1837.1880255,1683.71660162,1691.26318866,1819.68496282,22796570547.55,209726738382.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,Ethereum,ETH,2021-03-30 23:59:59,1860.97472999,1793.92233066,1819.46630935,1846.03369779,22512781703.33,212788788570.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2063,Ethereum,ETH,2021-03-31 23:59:59,1947.83775303,1793.0022286,1846.09827436,1918.36206064,30226902620.88,221151811159.17,1918.362,1895.0011,1714.1105,1810.4524,1863.0839,1940.8395,2062.1897,1977.2769,1880.0508,1619.179,1801.2242,1867.4513,1958.3396,2117.9644,2143.2256,1882.5117,1570.1083,1780.1246,1870.3848,1987.6809,2185.6614,2028.4224,1877.8055,1518.5262,1751.7853,1880.1874,2013.639,2221.1685,2093.1228,1900.2418,1484.7972,1726.7246,1871.8198,2050.4585,2318.9778
2064,Ethereum,ETH,2021-04-01 23:59:59,1989.05504875,1912.17840836,1919.15728391,1977.27688844,30914259795.49,227970125751.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065,Ethereum,ETH,2021-04-02 23:59:59,2152.45194993,1960.67875532,1976.93277834,2143.22563228,34862511022.26,247132282843.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,Ethereum,ETH,2021-04-03 23:59:59,2144.96241257,2028.4224386,2142.89593729,2028.4224386,32011518870.67,233921770621.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2067,Ethereum,ETH,2021-04-04 23:59:59,2110.35341292,2007.11187445,2027.67131232,2093.12285275,26006501901.85,241411837678.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2068,Ethereum,ETH,2021-04-05 23:59:59,2140.98525111,2032.38766481,2093.26068664,2107.88709669,28889391170.41,243143128759.79,2107.887,2149.2908,1940.4198,2064.368,2131.2097,2223.0908,2376.2126,2118.379,2131.1797,1813.5475,2039.7272,2137.1904,2244.9316,2423.4465,1971.0771,2127.8208,1775.606,2028.0662,2133.5806,2264.8594,2482.9458,2088.5737,2119.9949,1701.6466,1973.9315,2142.032,2316.35,2538.435,2072.109,2136.64,1675.1847,1939.942,2123.2686,2337.8384,2650.855
2069,Ethereum,ETH,2021-04-06 23:59:59,2151.22336169,2057.60909751,2109.49309109,2118.37895913,29222865881.1,244382061190.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070,Ethereum,ETH,2021-04-07 23:59:59,2133.18751724,1945.44212614,2117.72855052,1971.07725542,36116271935.34,227414944866.5,1971.0771,2174.8042,1962.6095,2089.485,2157.9758,2251.145,2407.522,2088.5737,2156.414,1832.5997,2063.213,2164.1433,2273.397,2453.9944,2072.109,2152.4138,1795.8779,2052.5603,2159.6528,2292.391,2512.3564,2135.9421,2144.2285,1719.5853,1995.8585,2167.8762,2346.6384,2569.9592,2157.657,2160.2249,1693.847,1960.7858,2148.2637,2366.3198,2683.8882
2071,Ethereum,ETH,2021-04-08 23:59:59,2091.51639226,1959.07947518,1969.13320855,2088.57365088,25312956528.95,241000078757.85,2088.5737,2024.7039,1830.691,1940.761,2000.1461,2085.3977,2222.7869,2072.109,2008.0544,1719.3204,1923.8655,2005.2792,2105.159,2273.9968,2135.9421,2007.6906,1675.6921,1907.4315,2005.3823,2129.671,2338.2166,2157.657,2001.4873,1612.902,1865.8959,2014.6917,2168.2292,2383.6868,2139.3533,2021.1129,1582.8887,1836.7039,2000.6044,2197.813,2488.8398
2072,Ethereum,ETH,2021-04-09 23:59:59,2102.87373189,2055.16335741,2088.77229912,2072.10887563,19812472091.89,239127946688.06,2072.109,2144.6853,1936.4042,2059.827,2126.3762,2218.0215,2370.5564,2135.9421,2126.6257,1810.0991,2035.4792,2132.3228,2239.787,2417.93,2157.657,2123.381,1771.94,2023.6372,2128.8674,2259.884,2477.629,2139.3533,2115.619,1698.4003,1969.9661,2137.3586,2310.881,2532.739,2299.1877,2132.3792,1671.8073,1936.1688,2118.7534,2332.69,2644.887
2073,Ethereum,ETH,2021-04-10 23:59:59,2196.99625318,2062.78751585,2071.11156011,2135.9422007,24986243611.44,246523420884.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074,Ethereum,ETH,2021-04-11 23:59:59,2165.19150015,2119.8656727,2136.15698332,2157.65703708,19692836132.1,249059103191.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2075,Ethereum,ETH,2021-04-12 23:59:59,2199.71867311,2110.36896826,2157.36172782,2139.35319598,21727936609.45,246975320275.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2076,Ethereum,ETH,2021-04-13 23:59:59,2318.42323937,2138.55951609,2139.36422943,2299.18778599,29456642939.44,265458239569.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077,Ethereum,ETH,2021-04-14 23:59:59,2449.68761012,2284.56378,2299.34785556,2435.10501889,35592822986.38,281183637540.49,2435.105,2354.5415,2114.4924,2262.9631,2344.7253,2445.946,2625.3826,2519.1162,2334.3674,1962.5936,2224.58,2351.9978,2471.7993,2666.082,2431.9465,2325.658,1936.012,2223.3054,2340.0383,2483.3398,2716.6653,2344.895,2314.6235,1841.5581,2147.2205,2347.113,2558.1118,2787.7617,2237.1372,2325.647,1821.6875,2102.9897,2319.5996,2562.7341,2913.7173
2078,Ethereum,ETH,2021-04-15 23:59:59,2544.26739145,2409.9240828,2436.03462095,2519.11610012,32325606817.2,290918491377.43,2519.1162,2486.0356,2221.3413,2386.6243,2479.7998,2585.9048,2782.2166,2431.9465,2464.753,2053.6348,2338.8306,2487.7544,2614.9604,2818.6467,2344.895,2452.482,2035.9043,2346.2324,2469.018,2620.173,2863.386,2237.1372,2438.936,1926.7179,2254.9863,2475.403,2711.2432,2943.3586,2166.1887,2445.816,1911.7283,2202.6165,2440.8857,2702.5488,3079.2178
2079,Ethereum,ETH,2021-04-16 23:59:59,2547.55559156,2318.67500775,2516.60175792,2431.94650379,36196928256.13,280884355081.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,Ethereum,ETH,2021-04-17 23:59:59,2497.38517196,2333.68280804,2429.98093154,2344.89498097,32349808977.72,270861474696.88,2344.895,2483.0369,2218.915,2383.8027,2476.7048,2582.704,2778.6284,2237.1372,2461.7776,2051.5684,2336.2288,2484.6416,2611.6873,2815.148,2166.1887,2449.5815,2033.6295,2343.4321,2466.0715,2617.0466,2860.0383,2330.211,2436.0986,1924.7837,2252.5312,2472.481,2707.7312,2939.7988,2364.7517,2443.0847,1909.6833,2200.3564,2438.11,2699.3567,3075.432
2081,Ethereum,ETH,2021-04-18 23:59:59,2365.46045983,2011.76680216,2346.45234828,2237.13702776,50696368717.74,258444691650.46,2237.1372,2399.126,2150.9807,2305.064,2390.5728,2493.5137,2678.6694,2166.1887,2378.5579,1993.6903,2263.5254,2398.0605,2520.4663,2717.8406,2330.211,2368.6438,1970.0583,2265.1956,2383.9136,2529.8818,2766.6084,2364.7517,2356.804,1870.635,2183.939,2390.8296,2610.0522,2840.6384,2403.5352,2366.475,1852.4315,2137.0356,2360.8025,2610.3113,2969.9553
2082,Ethereum,ETH,2021-04-19 23:59:59,2276.77689573,2086.68861894,2238.03276921,2166.1887655,34060654971.43,250277144256.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
